degree,betweenness centrality,local clustering,avg neighbour degree
7.996478872016622,0.0,0.19511065884007706,25.0
-0.7949121315145887,0.8483333333333334,0.05591263285726962,24.999999999999996
2.0278592966939897,0.6900000000000001,0.02761944279436071,24.999999999999993
4.112590444927587,0.5833333333333334,0.04252254688487481,24.999999999999993
6.706114350644891,0.0,0.15640700961351253,25.000000000000004
8.26840475081166,0.155,0.1585619450321766,25.000000000000007
5.596537291391499,0.4033333333333334,0.07479533257819458,25.000000000000007
7.458492866093873,0.195,0.13281637595188894,25.000000000000007
8.760265759290993,0.8250000000000001,0.2045420692561878,25.00000000000001
8.63673798562442,0.0,0.19370327054422523,25.0
4.849701690693557,0.5983333333333334,0.05483807173965019,25.000000000000004
8.5625358804886,0.0,0.14955389578972852,24.999999999999996
9.116433186388706,0.0,0.19706236670416602,25.00000000000001
7.5426116104733865,0.8283333333333334,0.17138098750099814,25.0
4.811413460889765,0.5266666666666667,0.12472699199547295,24.999999999999993
3.29172806570217,0.5066666666666667,0.032422003548337595,25.0
4.702415408271736,0.24833333333333335,0.08925035039483656,25.000000000000004
3.7775053516662846,0.6933333333333334,0.05465450622811545,24.999999999999996
0.7107841762948297,0.8616666666666667,0.051510698154869305,24.999999999999996
2.8324670173094075,0.4033333333333334,0.030474579146422834,25.0
4.7253483872570845,0.465,0.10376121529260782,25.0
6.204318497523496,0.5716666666666667,0.14718333687341242,24.999999999999993
6.151894865404735,0.0,0.13469623826008148,25.0
-4.024943319731702,0.9450000000000001,0.11466792628817914,25.000000000000007
8.445136539051578,0.3816666666666667,0.18542564962954353,25.000000000000004
7.6222441166547235,0.905,0.18167456600910234,24.999999999999996
